depth,name,value
1,Heavy consumption,5641.512145190341
1,Low consumption,8798.782837087881
2,Heavy consumption,3920.724911011973
2,Low consumption,7769.278352282022
3,Heavy consumption,3024.694483859692
3,Low consumption,7107.7696524329185
4,Heavy consumption,2356.7700609243693
4,Low consumption,6572.763703125683
5,Heavy consumption,1813.376931969179
5,Low consumption,6082.803100895991
6,Heavy consumption,1355.8108115622251
6,Low consumption,5636.5725724254835
7,Heavy consumption,1023.5181307089136
7,Low consumption,5223.8343423478955
8,Heavy consumption,792.8223190087454
8,Low consumption,4862.617351836573
9,Heavy consumption,643.3930636968178
9,Low consumption,4555.645319603231
10,Heavy consumption,558.5618897431633
10,Low consumption,4324.219946582623
11,Heavy consumption,521.5216508469243
11,Low consumption,4148.471680227584
12,Heavy consumption,529.2723292434705
12,Low consumption,4046.3615329886243
13,Heavy consumption,611.7019542815833
13,Low consumption,4038.8128678255016
14,Heavy consumption,745.1402430327738
14,Low consumption,4074.4776950730657
15,Heavy consumption,958.6058306932772
15,Low consumption,4157.506389844779
16,Heavy consumption,1219.6330722893847
16,Low consumption,4273.639163154231
17,Heavy consumption,1498.5840758038526
17,Low consumption,4406.628858758736
