depth,name,value
1,Heavy consumption,3588.0581130417763
1,Low consumption,7571.7639420831065
2,Heavy consumption,1777.980700448572
2,Low consumption,6400.264205804298
3,Heavy consumption,1110.5810870226624
3,Low consumption,5741.861774967958
4,Heavy consumption,670.4865485374121
4,Low consumption,5227.053740528023
5,Heavy consumption,349.8860169269851
5,Low consumption,4730.9915254081025
6,Heavy consumption,101.32449216006967
6,Low consumption,4254.7084441040415
7,Heavy consumption,-62.001993874718096
7,Low consumption,3796.8896486796
8,Heavy consumption,-146.68741840400855
8,Low consumption,3378.467234474177
9,Heavy consumption,-178.3589352453737
9,Low consumption,3012.3390671346915
10,Heavy consumption,-193.6593263212045
10,Low consumption,2728.458169646629
11,Heavy consumption,-197.53768148335973
11,Low consumption,2503.7247150953162
12,Heavy consumption,-190.9173705947726
12,Low consumption,2366.4744884314196
13,Heavy consumption,-170.16893320206282
13,Low consumption,2339.915698816172
14,Heavy consumption,-141.16225154501535
14,Low consumption,2356.7544413777728
15,Heavy consumption,-51.40116712754798
15,Low consumption,2412.984829475339
16,Heavy consumption,64.77423470353051
16,Low consumption,2485.740456022607
17,Heavy consumption,157.98459835540302
17,Low consumption,2525.1422521722534
