depth,name,value
1,Heavy consumption,7694.966177338905
1,Low consumption,10025.801732092656
2,Heavy consumption,6063.469121575374
2,Low consumption,9138.292498759745
3,Heavy consumption,4938.807880696721
3,Low consumption,8473.67752989788
4,Heavy consumption,4043.0535733113265
4,Low consumption,7918.4736657233425
5,Heavy consumption,3276.8678470113728
5,Low consumption,7434.614676383879
6,Heavy consumption,2610.297130964381
6,Low consumption,7018.4367007469255
7,Heavy consumption,2109.0382552925453
7,Low consumption,6650.779036016191
8,Heavy consumption,1732.3320564214991
8,Low consumption,6346.767469198969
9,Heavy consumption,1465.1450626390092
9,Low consumption,6098.95157207177
10,Heavy consumption,1310.7831058075312
10,Low consumption,5919.981723518618
11,Heavy consumption,1240.5809831772085
11,Low consumption,5793.218645359852
12,Heavy consumption,1249.4620290817136
12,Low consumption,5726.248577545829
13,Heavy consumption,1393.5728417652294
13,Low consumption,5737.710036834831
14,Heavy consumption,1631.442737610563
14,Low consumption,5792.200948768359
15,Heavy consumption,1968.6128285141024
15,Low consumption,5902.027950214218
16,Heavy consumption,2374.491909875239
16,Low consumption,6061.537870285855
17,Heavy consumption,2839.183553252302
17,Low consumption,6288.115465345219
