lake,year,ct
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1979,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1980,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1981,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1982,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1983,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1984,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1985,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1986,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1987,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1988,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1989,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1990,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1991,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1992,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1993,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1994,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1995,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1996,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1997,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1998,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1999,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2000,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2001,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2002,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2003,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2004,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2005,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2006,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2007,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2008,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2009,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2010,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2011,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2012,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2013,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2014,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2015,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2016,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2017,Heavy consumption
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2018,Heavy consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1979,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1980,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1981,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1982,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1983,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1984,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1985,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1986,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1987,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1988,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1989,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1990,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1991,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1992,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1993,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1994,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1995,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1996,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1997,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1998,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1999,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2000,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2001,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2002,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2003,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2004,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2005,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2006,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2007,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2008,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2009,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2010,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2011,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2012,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2013,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2014,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2015,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2016,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2017,Low consumption
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2018,Low consumption
nhdhr_105231881,1979,Heavy consumption
nhdhr_105231881,1980,Heavy consumption
nhdhr_105231881,1981,Heavy consumption
nhdhr_105231881,1982,Heavy consumption
nhdhr_105231881,1983,Heavy consumption
nhdhr_105231881,1984,Heavy consumption
nhdhr_105231881,1985,Heavy consumption
nhdhr_105231881,1986,Heavy consumption
nhdhr_105231881,1987,Heavy consumption
nhdhr_105231881,1988,Heavy consumption
nhdhr_105231881,1989,Heavy consumption
nhdhr_105231881,1990,Heavy consumption
nhdhr_105231881,1991,Heavy consumption
nhdhr_105231881,1992,Heavy consumption
nhdhr_105231881,1993,Heavy consumption
nhdhr_105231881,1994,Heavy consumption
nhdhr_105231881,1995,Heavy consumption
nhdhr_105231881,1996,Heavy consumption
nhdhr_105231881,1997,Heavy consumption
nhdhr_105231881,1998,Heavy consumption
nhdhr_105231881,1999,Heavy consumption
nhdhr_105231881,2000,Heavy consumption
nhdhr_105231881,2001,Heavy consumption
nhdhr_105231881,2002,Heavy consumption
nhdhr_105231881,2003,Heavy consumption
nhdhr_105231881,2004,Heavy consumption
nhdhr_105231881,2005,Heavy consumption
nhdhr_105231881,2006,Heavy consumption
nhdhr_105231881,2007,Heavy consumption
nhdhr_105231881,2008,Heavy consumption
nhdhr_105231881,2009,Heavy consumption
nhdhr_105231881,2010,Heavy consumption
nhdhr_105231881,2011,Heavy consumption
nhdhr_105231881,2012,Heavy consumption
nhdhr_105231881,2013,Heavy consumption
nhdhr_105231881,2014,Heavy consumption
nhdhr_105231881,2015,Heavy consumption
nhdhr_105231881,2016,Heavy consumption
nhdhr_105231881,2017,Heavy consumption
nhdhr_105231881,2018,Heavy consumption
nhdhr_105567402,1979,Low consumption
nhdhr_105567402,1980,Low consumption
nhdhr_105567402,1981,Low consumption
nhdhr_105567402,1982,Low consumption
nhdhr_105567402,1983,Low consumption
nhdhr_105567402,1984,Low consumption
nhdhr_105567402,1985,Low consumption
nhdhr_105567402,1986,Low consumption
nhdhr_105567402,1987,Low consumption
nhdhr_105567402,1988,Low consumption
nhdhr_105567402,1989,Low consumption
nhdhr_105567402,1990,Low consumption
nhdhr_105567402,1991,Low consumption
nhdhr_105567402,1992,Low consumption
nhdhr_105567402,1993,Low consumption
nhdhr_105567402,1994,Low consumption
nhdhr_105567402,1995,Low consumption
nhdhr_105567402,1996,Low consumption
nhdhr_105567402,1997,Low consumption
nhdhr_105567402,1998,Low consumption
nhdhr_105567402,1999,Low consumption
nhdhr_105567402,2000,Low consumption
nhdhr_105567402,2001,Low consumption
nhdhr_105567402,2002,Low consumption
nhdhr_105567402,2003,Low consumption
nhdhr_105567402,2004,Low consumption
nhdhr_105567402,2005,Low consumption
nhdhr_105567402,2006,Low consumption
nhdhr_105567402,2007,Low consumption
nhdhr_105567402,2008,Low consumption
nhdhr_105567402,2009,Low consumption
nhdhr_105567402,2010,Low consumption
nhdhr_105567402,2011,Low consumption
nhdhr_105567402,2012,Low consumption
nhdhr_105567402,2013,Low consumption
nhdhr_105567402,2014,Low consumption
nhdhr_105567402,2015,Low consumption
nhdhr_105567402,2016,Low consumption
nhdhr_105567402,2017,Low consumption
nhdhr_105567402,2018,Low consumption
nhdhr_105954753,1979,Heavy consumption
nhdhr_105954753,1980,Heavy consumption
nhdhr_105954753,1981,Heavy consumption
nhdhr_105954753,1982,Heavy consumption
nhdhr_105954753,1983,Heavy consumption
nhdhr_105954753,1984,Heavy consumption
nhdhr_105954753,1985,Heavy consumption
nhdhr_105954753,1986,Heavy consumption
nhdhr_105954753,1987,Heavy consumption
nhdhr_105954753,1988,Heavy consumption
nhdhr_105954753,1989,Heavy consumption
nhdhr_105954753,1990,Heavy consumption
nhdhr_105954753,1991,Heavy consumption
nhdhr_105954753,1992,Heavy consumption
nhdhr_105954753,1993,Heavy consumption
nhdhr_105954753,1994,Heavy consumption
nhdhr_105954753,1995,Heavy consumption
nhdhr_105954753,1996,Heavy consumption
nhdhr_105954753,1997,Heavy consumption
nhdhr_105954753,1998,Heavy consumption
nhdhr_105954753,1999,Heavy consumption
nhdhr_105954753,2000,Heavy consumption
nhdhr_105954753,2001,Heavy consumption
nhdhr_105954753,2002,Heavy consumption
nhdhr_105954753,2003,Heavy consumption
nhdhr_105954753,2004,Heavy consumption
nhdhr_105954753,2005,Heavy consumption
nhdhr_105954753,2006,Heavy consumption
nhdhr_105954753,2007,Heavy consumption
nhdhr_105954753,2008,Heavy consumption
nhdhr_105954753,2009,Heavy consumption
nhdhr_105954753,2010,Heavy consumption
nhdhr_105954753,2011,Heavy consumption
nhdhr_105954753,2012,Heavy consumption
nhdhr_105954753,2013,Heavy consumption
nhdhr_105954753,2014,Heavy consumption
nhdhr_105954753,2015,Heavy consumption
nhdhr_105954753,2016,Heavy consumption
nhdhr_105954753,2017,Heavy consumption
nhdhr_105954753,2018,Heavy consumption
nhdhr_107074156,1979,Heavy consumption
nhdhr_107074156,1980,Heavy consumption
nhdhr_107074156,1981,Heavy consumption
nhdhr_107074156,1982,Heavy consumption
nhdhr_107074156,1983,Heavy consumption
nhdhr_107074156,1984,Heavy consumption
nhdhr_107074156,1985,Heavy consumption
nhdhr_107074156,1986,Heavy consumption
nhdhr_107074156,1987,Heavy consumption
nhdhr_107074156,1988,Heavy consumption
nhdhr_107074156,1989,Heavy consumption
nhdhr_107074156,1990,Heavy consumption
nhdhr_107074156,1991,Heavy consumption
nhdhr_107074156,1992,Heavy consumption
nhdhr_107074156,1993,Heavy consumption
nhdhr_107074156,1994,Heavy consumption
nhdhr_107074156,1995,Heavy consumption
nhdhr_107074156,1996,Heavy consumption
nhdhr_107074156,1997,Heavy consumption
nhdhr_107074156,1998,Heavy consumption
nhdhr_107074156,1999,Heavy consumption
nhdhr_107074156,2000,Heavy consumption
nhdhr_107074156,2001,Heavy consumption
nhdhr_107074156,2002,Heavy consumption
nhdhr_107074156,2003,Heavy consumption
nhdhr_107074156,2004,Heavy consumption
nhdhr_107074156,2005,Heavy consumption
nhdhr_107074156,2006,Heavy consumption
nhdhr_107074156,2007,Heavy consumption
nhdhr_107074156,2008,Heavy consumption
nhdhr_107074156,2009,Heavy consumption
nhdhr_107074156,2010,Heavy consumption
nhdhr_107074156,2011,Heavy consumption
nhdhr_107074156,2012,Heavy consumption
nhdhr_107074156,2013,Heavy consumption
nhdhr_107074156,2014,Heavy consumption
nhdhr_107074156,2015,Heavy consumption
nhdhr_107074156,2016,Heavy consumption
nhdhr_107074156,2017,Heavy consumption
nhdhr_107074156,2018,Heavy consumption
nhdhr_107074838,1979,Heavy consumption
nhdhr_107074838,1980,Heavy consumption
nhdhr_107074838,1981,Heavy consumption
nhdhr_107074838,1982,Heavy consumption
nhdhr_107074838,1983,Heavy consumption
nhdhr_107074838,1984,Heavy consumption
nhdhr_107074838,1985,Heavy consumption
nhdhr_107074838,1986,Heavy consumption
nhdhr_107074838,1987,Heavy consumption
nhdhr_107074838,1988,Heavy consumption
nhdhr_107074838,1989,Heavy consumption
nhdhr_107074838,1990,Heavy consumption
nhdhr_107074838,1991,Heavy consumption
nhdhr_107074838,1992,Heavy consumption
nhdhr_107074838,1993,Heavy consumption
nhdhr_107074838,1994,Heavy consumption
nhdhr_107074838,1995,Heavy consumption
nhdhr_107074838,1996,Heavy consumption
nhdhr_107074838,1997,Heavy consumption
nhdhr_107074838,1998,Heavy consumption
nhdhr_107074838,1999,Heavy consumption
nhdhr_107074838,2000,Heavy consumption
nhdhr_107074838,2001,Heavy consumption
nhdhr_107074838,2002,Heavy consumption
nhdhr_107074838,2003,Heavy consumption
nhdhr_107074838,2004,Heavy consumption
nhdhr_107074838,2005,Heavy consumption
nhdhr_107074838,2006,Heavy consumption
nhdhr_107074838,2007,Heavy consumption
nhdhr_107074838,2008,Heavy consumption
nhdhr_107074838,2009,Heavy consumption
nhdhr_107074838,2010,Heavy consumption
nhdhr_107074838,2011,Heavy consumption
nhdhr_107074838,2012,Heavy consumption
nhdhr_107074838,2013,Heavy consumption
nhdhr_107074838,2014,Heavy consumption
nhdhr_107074838,2015,Heavy consumption
nhdhr_107074838,2016,Heavy consumption
nhdhr_107074838,2017,Heavy consumption
nhdhr_107074838,2018,Heavy consumption
nhdhr_109981506,1979,Heavy consumption
nhdhr_109981506,1980,Heavy consumption
nhdhr_109981506,1981,Heavy consumption
nhdhr_109981506,1982,Heavy consumption
nhdhr_109981506,1983,Heavy consumption
nhdhr_109981506,1984,Heavy consumption
nhdhr_109981506,1985,Heavy consumption
nhdhr_109981506,1986,Heavy consumption
nhdhr_109981506,1987,Heavy consumption
nhdhr_109981506,1988,Heavy consumption
nhdhr_109981506,1989,Heavy consumption
nhdhr_109981506,1990,Heavy consumption
nhdhr_109981506,1991,Heavy consumption
nhdhr_109981506,1992,Heavy consumption
nhdhr_109981506,1993,Heavy consumption
nhdhr_109981506,1994,Heavy consumption
nhdhr_109981506,1995,Heavy consumption
nhdhr_109981506,1996,Heavy consumption
nhdhr_109981506,1997,Heavy consumption
nhdhr_109981506,1998,Heavy consumption
nhdhr_109981506,1999,Heavy consumption
nhdhr_109981506,2000,Heavy consumption
nhdhr_109981506,2001,Heavy consumption
nhdhr_109981506,2002,Heavy consumption
nhdhr_109981506,2003,Heavy consumption
nhdhr_109981506,2004,Heavy consumption
nhdhr_109981506,2005,Heavy consumption
nhdhr_109981506,2006,Heavy consumption
nhdhr_109981506,2007,Heavy consumption
nhdhr_109981506,2008,Heavy consumption
nhdhr_109981506,2009,Heavy consumption
nhdhr_109981506,2010,Heavy consumption
nhdhr_109981506,2011,Heavy consumption
nhdhr_109981506,2012,Heavy consumption
nhdhr_109981506,2013,Heavy consumption
nhdhr_109981506,2014,Heavy consumption
nhdhr_109981506,2015,Heavy consumption
nhdhr_109981506,2016,Heavy consumption
nhdhr_109981506,2017,Heavy consumption
nhdhr_109981506,2018,Heavy consumption
nhdhr_113471457,1979,Heavy consumption
nhdhr_113471457,1980,Heavy consumption
nhdhr_113471457,1981,Heavy consumption
nhdhr_113471457,1982,Heavy consumption
nhdhr_113471457,1983,Heavy consumption
nhdhr_113471457,1984,Heavy consumption
nhdhr_113471457,1985,Heavy consumption
nhdhr_113471457,1986,Heavy consumption
nhdhr_113471457,1987,Heavy consumption
nhdhr_113471457,1988,Heavy consumption
nhdhr_113471457,1989,Heavy consumption
nhdhr_113471457,1990,Heavy consumption
nhdhr_113471457,1991,Heavy consumption
nhdhr_113471457,1992,Heavy consumption
nhdhr_113471457,1993,Heavy consumption
nhdhr_113471457,1994,Heavy consumption
nhdhr_113471457,1995,Heavy consumption
nhdhr_113471457,1996,Heavy consumption
nhdhr_113471457,1997,Heavy consumption
nhdhr_113471457,1998,Heavy consumption
nhdhr_113471457,1999,Heavy consumption
nhdhr_113471457,2000,Heavy consumption
nhdhr_113471457,2001,Heavy consumption
nhdhr_113471457,2002,Heavy consumption
nhdhr_113471457,2003,Heavy consumption
nhdhr_113471457,2004,Heavy consumption
nhdhr_113471457,2005,Heavy consumption
nhdhr_113471457,2006,Heavy consumption
nhdhr_113471457,2007,Heavy consumption
nhdhr_113471457,2008,Heavy consumption
nhdhr_113471457,2009,Heavy consumption
nhdhr_113471457,2010,Heavy consumption
nhdhr_113471457,2011,Heavy consumption
nhdhr_113471457,2012,Heavy consumption
nhdhr_113471457,2013,Heavy consumption
nhdhr_113471457,2014,Heavy consumption
nhdhr_113471457,2015,Heavy consumption
nhdhr_113471457,2016,Heavy consumption
nhdhr_113471457,2017,Heavy consumption
nhdhr_113471457,2018,Heavy consumption
nhdhr_114542575,1979,Low consumption
nhdhr_114542575,1980,Low consumption
nhdhr_114542575,1981,Low consumption
nhdhr_114542575,1982,Low consumption
nhdhr_114542575,1983,Low consumption
nhdhr_114542575,1984,Low consumption
nhdhr_114542575,1985,Low consumption
nhdhr_114542575,1986,Low consumption
nhdhr_114542575,1987,Low consumption
nhdhr_114542575,1988,Heavy consumption
nhdhr_114542575,1989,Low consumption
nhdhr_114542575,1990,Low consumption
nhdhr_114542575,1991,Low consumption
nhdhr_114542575,1992,Low consumption
nhdhr_114542575,1993,Low consumption
nhdhr_114542575,1994,Low consumption
nhdhr_114542575,1995,Low consumption
nhdhr_114542575,1996,Low consumption
nhdhr_114542575,1997,Low consumption
nhdhr_114542575,1998,Heavy consumption
nhdhr_114542575,1999,Heavy consumption
nhdhr_114542575,2000,Low consumption
nhdhr_114542575,2001,Heavy consumption
nhdhr_114542575,2002,Low consumption
nhdhr_114542575,2003,Heavy consumption
nhdhr_114542575,2004,Low consumption
nhdhr_114542575,2005,Heavy consumption
nhdhr_114542575,2006,Heavy consumption
nhdhr_114542575,2007,Heavy consumption
nhdhr_114542575,2008,Heavy consumption
nhdhr_114542575,2009,Low consumption
nhdhr_114542575,2010,Low consumption
nhdhr_114542575,2011,Low consumption
nhdhr_114542575,2012,Heavy consumption
nhdhr_114542575,2013,Low consumption
nhdhr_114542575,2014,Low consumption
nhdhr_114542575,2015,Low consumption
nhdhr_114542575,2016,Heavy consumption
nhdhr_114542575,2017,Low consumption
