lake,fit_train,fit_test,fit_all,obs_total
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1.71,3.12,2.25,60
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1.66,1.53,1.62,132
nhdhr_105231881,1.29,1.29,1.29,1
nhdhr_105567402,2.32,1.76,2.21,233
nhdhr_105954753,2.07,3.76,2.56,30
nhdhr_107074156,1.1,1.25,1.15,38
nhdhr_107074838,2.82,2.97,2.86,86
nhdhr_109981506,2.01,7.44,5.45,2
nhdhr_113471457,0.49,0.86,0.7,2
nhdhr_114542575,1.67,1.64,1.66,98
nhdhr_114544961,2.2,2.21,2.2,27
nhdhr_120017988,2.58,2.02,2.42,166
nhdhr_120017991,2.14,2.12,2.14,126
nhdhr_120017997,0.39,2.11,0.87,97
nhdhr_120018005,3.44,3.35,3.41,199
nhdhr_120018006,6.93,4.12,6.93,34
nhdhr_120018008,3.72,3.12,3.51,154
nhdhr_120018012,1.49,7.43,6.13,23
nhdhr_120018013,1.32,2.73,2.73,24
nhdhr_120018014,2.75,2.41,2.65,143
nhdhr_120018017,4.13,3.69,4.02,60
nhdhr_120018022,2.23,2.56,2.37,148
nhdhr_120018025,2.61,2.03,2.45,224
nhdhr_120018027,0.45,5.25,3.05,75
nhdhr_120018032,2.26,2.47,2.33,310
nhdhr_120018036,1.66,1.81,1.71,241
nhdhr_120018038,1.76,1.4,1.66,308
nhdhr_120018046,1.62,1.62,1.62,280
nhdhr_120018047,2.88,3.68,3.16,64
nhdhr_120018049,1.98,1.79,1.92,318
nhdhr_120018055,1.7,2.09,1.83,263
nhdhr_120018059,1.97,1.89,1.94,362
nhdhr_120018060,2.01,2.24,2.09,174
nhdhr_120018061,3.34,2.39,3.07,101
nhdhr_120018071,1.68,1.76,1.7,311
nhdhr_120018072,1.58,1.75,1.64,346
nhdhr_120018073,2.32,2.06,2.25,69
nhdhr_120018074,1.76,1.99,1.84,260
nhdhr_120018078,2.76,2.65,2.73,344
nhdhr_120018079,1.7,1.67,1.69,289
nhdhr_120018081,1.57,1.08,1.44,346
nhdhr_120018084,1.83,2.21,1.96,509
nhdhr_120018085,2.05,4.4,2.9,130
nhdhr_120018088,2.23,1.8,2.1,395
nhdhr_120018089,2.04,2.19,2.08,186
nhdhr_120018090,2.66,2.69,2.67,374
nhdhr_120018091,2.49,2.25,2.42,156
nhdhr_120018092,2.39,2.18,2.33,322
nhdhr_120018094,2.87,3.21,2.97,129
nhdhr_120018097,2.22,2.04,2.17,344
nhdhr_120018098,2.48,2.76,2.57,152
nhdhr_120018100,1.64,1.29,1.54,354
nhdhr_120018102,2.58,2.36,2.51,114
